,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,website,description,LogoUrl,school,school_id
0,0,0,0,0,0,0,www.ironhack.com/en,"Ironhack is a global tech school with 9 campuses worldwide, located in Miami, Madrid, Barcelona, Paris, Berlin, Amsterdam, Mexico City, Lisbon and São Paulo. Ironhack offers bootcamps and part-time courses in Web Development, UX/UI Design, Data Analytics... Read More and Cyber Security, which are taught both remotely and in-person.With more than 6.000 graduates working at companies like Google, Visa, Twitter, Rocket Internet and Orange, among others, Ironhack has an extensive global network of +600 partner companies. Post graduation, all students have access to career services, which prepare graduates for their job searches and facilitate interviews in their city's local tech ecosystem.Read Less",https://d92mrp7hetgfk.cloudfront.net/images/sites/misc/ironhack/original.jpg?1568082165,ironhack,10828
1,1,1,1,1,1,0,appacademy.io,"Founded in 2012, App Academy is a world-renowned coding bootcamp that has placed alumni in Software Engineering roles at a range of start-ups and top tech companies. App Academy offers software engineering programs that fit every learning style, including... Read More campus-based and online. The campus-based programs cover fullstack Ruby on Rails, JavaScript, SQL, HTML, CSS, ReactJS, and Redux, while our online programs cover SQL, JS, Python, HTML, and CSS, in addition to state-of-the-art tools and web frameworks like ReactJS, Express, Flask, and SQL Alchemy. Working in a dynamic team environment, students will build complex web applications that will form the foundation of their portfolio.App Academy’s goal is to ensure students not only land a full-time software engineering role, but also advance in their careers for years to come. Dedicated career coaches offer job search support ranging from mock technical/non-technical interviews and resume reviews, to connecting grads with App Academy's vast employer network. Upon graduation, career coaches will guide students through their entire job search, from mock interviews to salary negotiation. From there, App Academy's partnerships team connects graduates with some of the most prestigious tech companies in the industry.Read Less",https://d92mrp7hetgfk.cloudfront.net/images/sites/misc/App_Academy_logo-8/original.png?1567098952,app-academy,10525
2,2,2,2,2,2,0,www.springboard.com/?utm_source=switchup&utm_medium=affiliates&utm_campaign=branded_link,"Springboard is an online learning platform that prepares students for the tech industry’s most in-demand careers with comprehensive, mentor-led online programs in software engineering, data science, machine learning, UI/UX design, cybersecurity, and more.... Read More We act as a support system, coach, and cheerleader for working professionals who are ready to level-up or make a major career shift. All Springboard courses are 100% online, remote, and self-paced throughout an average of six to nine months. The Springboard experience gives our students access to a unique community of industry mentors, thought leaders, and alumni, who are on hand to offer insights, networking opportunities, and support throughout our programs and well past graduation. Every Springboard student is matched with a personal student advisor and industry mentor who guides them throughout the program through regular video calls.Before graduation, Springboard’s career services team supports students in their job search, helping prepare them for interviews and networking, and facilitates their transition into the tech industry. Our tuition-back guarantee allowing students runway to secure the role of their dreams means students can take charge and invest in themselves.Springboard’s support does not end when students graduate. All our graduates benefit from an extensive support network encompassing career services, 1:1 career coaching, networking tips, resume assistance, interview prep, and salary negotiation. This approach has seen considerable success: since Springboard was founded in 2013, 94% of eligible graduates secured a job within one year, earning an average salary increase of $26,000.Springboard is excited to offer SwitchUp an exclusive scholarship for $500 off tuition! Use promo code SWITCHUP500 when enrolling. *This offer is only valid for new applicants. Applicants who have already summited an application cannot claim this scholarship. This scholarship cannot be combined with other scholarships and/or offers. Qualifying Courses: Data Analytics Career Track, Data Science Career Track, Software Engineering Career Track, UI/UX Design Career Track, UX Career Track,At Springboard, we equip our students with the skills they'll need to find their dream jobs in a tech-centric economy. To that end, we believe in providing transparency around our outcomes, so that students like you can make well-informed decisions. This report is intended to provide information regarding data on job placements and student demographics for all Springboard career tracks: https://ddf46429.springboard.com/uploads/resources/1644953246_Outcomes_2021_All_Career_Tracks.pdf.Read Less",https://d92mrp7hetgfk.cloudfront.net/images/sites/misc/springboard_3_30_2023/original.png?1680281932,springboard,11035
3,3,3,3,3,3,0,anyonecanlearntocode.com/?utm_source=switchup&utm_medium=placements,"Actualize is a coding bootcamp that values quality education above all else. They only hire lead instructors who have professional educational experience in addition to professional software development experience. Actualize provides both daytime and... Read More evening/weekend courses, allowing its students are able to transition to successful careers in web development without having to quit their original jobs while learning to code. In addition to teaching programming skills, Actualize is committed to mentoring students to find their first job in the software industry. Actualize has a deeply integrated Job Hacking curriculum, which provides the distinct skills necessary to be successful with interviews and landing a job. Actualize also offers a structured Job Hacking career support program after the bootcamp to help graduates execute their job hunt in a specific and timely manner. Actualize runs two award-winning programs. Their Online Live course is available to every location in North America, and serves as the world's only online coding bootcamp that is 100% live, including all instruction and exercises. The Online Live program uses the same immersive curriculum as the in-person program, with classes conducted real time with video conferencing. Its in-person course is the longest running Chicago coding bootcamp, with in-person classes available at its Chicago River North campus.Read Less",https://d92mrp7hetgfk.cloudfront.net/images/sites/misc/actualize-1/original.jpg?1568074228,actualize,10505
4,4,4,4,4,4,0,learningfuze.com,"LearningFuze is an immersive, 14-week web development training program that aims to bridge the gap between the growing demand for capable developers and the vast shortage in supply. The bootcamp focuses on JavaScript and Node. The focus on full stack... Read More is directly tied to the need in the marketplace by employer partners.95% of graduating students that are engaged in the LearningFuze employment search process find employment in Southern California.The program focuses on teaching students through a project oriented, work-like environment by employing instructors with 10 to 15 years of experience. Students will be prepared to compete in the marketplace by obtaining cutting edge coding skills and soft skills alike. The program is fun yet intense so that students leave knowing that they are ready to become professional developers.Read Less",https://d92mrp7hetgfk.cloudfront.net/images/sites/misc/learningfuze-1/original.jpg?1568161224,learningfuze,10862
5,5,5,5,5,5,0,clarusway.com/,"Clarusway is a highly respected IT training school based in Virginia, offering a variety of specialized programs in fields such as Cloud Engineering, DevOps Engineering, Data Science, Data Analytics, Machine Learning, Deep Learning, Full Stack Web Development,... Read More Front End Development, Back End Development, Cybersecurity, Salesforce Admin &amp; Developer, Blockchain &amp; Web3 Development, and Software Development Engineer in Test (SDET). Our goal is to provide affordable and effective IT training programs that give individuals the practical knowledge they need to succeed in their careers.At Clarusway, we believe in using innovative approaches to learning, including mentorship programs, peer learning, and project-based group study methods. These unique techniques help our learners develop their skills and become subject matter experts quickly and efficiently. Our students gain the necessary classroom knowledge and hands-on experience required by the fast-paced tech industry.We have implemented a state-of-the-art Learning Management System (LMS) to enhance the learning process further. This system allows students to access recorded training sessions, manage individual training requirements, and track progress. It also includes a vast question bank to help students stay organized and test their knowledge as they go. The LMS can be accessed at any time, making it convenient for students to review content, submit assignments, and keep track of their schedules.At Clarusway, we offer beginner to advanced level programs and welcome applicants of all IT training and experience levels. Our training packages are available for seven main IT career paths: AWS &amp; DevOps, Full Stack Web Development, Data Science, Cybersecurity, Salesforce Admin &amp; Developer, Blockchain &amp; Web3 Development, and Software Development Engineer in Test (SDET).In addition to our comprehensive training programs, Clarusway also offers Career Management Services (CMS) to help students build and achieve their future career goals. With extensive market research experience and a market-driven productive cycle, our CMS is the only one of its kind in the bootcamp industry, preparing students to succeed in the competitive IT market.Read Less",https://d92mrp7hetgfk.cloudfront.net/images/sites/misc/Clarusway_2_resized/original.jpg?1659388760,clarusway,11539
6,6,6,6,6,6,0,www.codesmith.io,"Codesmith’s Software Engineering Immersive program is an advanced residency designed to help individuals launch a meaningful, high-level career in Software Engineering. Codesmith offers full-time (13-week) and part-time (38-week) remote software engineering... Read More immersive programs as well as a full-time NYC Onsite program. In addition, Codesmith offers a variety of other resources from free beginner workshops, part-time prep courses, the CSX learning platform and an endlessly supportive community.The top-rated Software Engineering Immersive programs teach full stack JavaScript and computer science to prepare residents for mid and senior level software engineering roles. The expertly designed rigorous curriculum and supportive community immerses residents in modern web technologies, such as React and Node.js, and encourages them to tackle unique and unfamiliar problems to prepare them for the ever-changing tech landscape.In addition to the core curriculum, Codesmith offers an extensive hiring support program that guides residents through the hiring process, including interview strategies, portfolio development, and post-graduation check-ins. As shared in the most recent CIRR outcomes reports (January-June 2022), more than 80% of Codesmith graduates were employed in the field within 6 months of graduating with a median base salary of $127,500 for full-time immersive grads &amp; $137,000 for part-time immersive grads Codesmith's mission is to develop an exceptional network of brilliant and collaborative Software Engineers who are passionate about pushing the engineering community forward. With this mission in mind, Codesmith offers numerous payment plans to all applicants, and a variety of scholarships to provide financial support to outstanding community members who exemplify Codesmith’s values, especially those from backgrounds traditionally underrepresented in the tech industry.Read Less",https://d92mrp7hetgfk.cloudfront.net/images/sites/misc/21/original.png?1643820762,codesmith,10643
7,7,7,7,7,7,0,www.codeplatoon.org,"Code Platoon is a 501(c)3 non-profit that helps veterans and military spouses transition into the civilian workforce by providing technical training and career placement. Students can participate in the training program through a 14 week full time, immersive... Read More bootcamp or through a 28 week evening and weekend option. The curriculum at Code Platoon is designed to immerse the students in learning the full web development stack, including Python, Django, JavaScript, HTML, and CSS. The Python and Javascript track includes five modules: Computer science/programming fundamentals, the World Wide Web, Data Science, Amazon Web Services, and Creating Applications. No previous programming skills are required. Upon graduation, students are eligible for paid internships with our corporate sponsors. Code Platoon is an approved VET TEC training provider through the Department of Veteran Affairs. In-Person students may also use their GI Bill. All students are eligible to apply for general scholarships once enrolled in the program.Read Less",https://d92mrp7hetgfk.cloudfront.net/images/sites/misc/ytoIiv_i_400x400/original.png?1571443710,code-platoon,10627
8,8,8,8,8,8,0,www.knowledgehut.com,"KnowledgeHut is a leading training provider, helping professionals across industries and sectors develop new expertise and bridge their skill gap for recognition and growth in the global corporate world.Developed with the intention of delivering high... Read More value training through innovative and practical approaches, KnowledgeHut offers a wide range of services in training, learning and development in the fields of technology and management.The founders of the company are zealous young entrepreneurs, who were motivated by the need to fill a niche in the IT Training industry for professionals and they are aided in their goal by industry experts who conduct the workshops; igniting minds and motivating professionals to face on-the-job challenges.Read Less",https://d92mrp7hetgfk.cloudfront.net/images/sites/misc/Knowledgehut_resized/original.jpg?1619713324,knowledgehut,10846
9,9,9,9,9,9,0,www.udacity.com/?utm_source=switchup&utm_medium=ads_n,"Udacity is the trusted market leader in talent transformation—changing lives, businesses, and nations by creating job-ready digital talent. With over a decade of experience, our expert content empowers learners to take on the challenges of innovation... Read More with confidence in as few as 10 hours per week, at their own pace, when and where it’s convenient. Our approach to talent transformation incorporates projects based on real-world scenarios, guided by personalized mentor support with a focus on in-demand digital competencies in areas like AI, cloud computing, cybersecurity, programming, data science, and more. For learners who want more than just multiple-choice questions graded by bots, Udacity projects are open-ended and require critical thinking––just like the workplaceRead Less",https://d92mrp7hetgfk.cloudfront.net/images/sites/misc/Udacity_new/original.png?1651185357,udacity,11118
